Data Type Code,Data Type Description,Data Time,Data Value,Unit
QCO,MANUAL-Observed Discharge 4,2005-12-22T08:00:00,0.09,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-23T08:00:00,0.09,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-24T08:00:00,0.06,m3/sec
QCO,MANUAL-Observed Discharge 4,2005-12-25T08:00:00,0.03,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-21T08:00:00,1.692,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-22T08:00:00,1.031,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-23T08:00:00,0.723,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-24T08:00:00,0.299,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-06-25T08:00:00,0.197,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-04T08:00:00,1.521,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-05T08:00:00,1.165,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-06T08:00:00,0.989,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-08T08:00:00,0.85,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-09T08:00:00,0.812,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-10T08:00:00,0.794,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-11T08:00:00,0.776,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-12T08:00:00,0.723,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-13T08:00:00,0.69,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-15T08:00:00,0.361,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-16T08:00:00,0.383,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-17T08:00:00,0.407,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-18T08:00:00,0.431,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-19T08:00:00,0.35,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-20T08:00:00,0.34,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-23T08:00:00,0.28,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-24T08:00:00,0.244,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-25T08:00:00,0.228,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-26T08:00:00,0.212,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-27T08:00:00,0.197,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-28T08:00:00,0.197,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-29T08:00:00,0.197,m3/sec
QCO,MANUAL-Observed Discharge 4,2006-11-30T08:00:00,0.197,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-06-06T08:00:00,1.9901046,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-06-07T08:00:00,1.1651617,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-11T08:00:00,2.220994,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-12T08:00:00,2.3800933,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-13T08:00:00,1.6266541,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-14T08:00:00,2.1429868,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-15T08:00:00,0.92791647,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-16T08:00:00,1.3559446,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-18T08:00:00,0.7113458,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-19T08:00:00,0.87178385,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-20T08:00:00,1.0440341,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-21T08:00:00,0.81696296,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-22T08:00:00,0.42858914,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-23T08:00:00,0.34655803,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-24T08:00:00,0.23612504,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-25T08:00:00,0.20290197,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-26T08:00:00,0.11503693,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-09-27T08:00:00,0.11503693,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-20T08:00:00,1.5572687,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-21T08:00:00,1.3559446,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-23T08:00:00,1.6266541,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-24T08:00:00,1.3559446,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-25T08:00:00,1.22756,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-26T08:00:00,0.87178385,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-27T08:00:00,0.7113458,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-28T08:00:00,0.6112586,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-30T08:00:00,0.47198752,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-10-31T08:00:00,0.47198752,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-01T08:00:00,3.698124,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-02T08:00:00,1.6971569,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-03T08:00:00,1.1039808,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-04T08:00:00,0.6112586,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-06T08:00:00,0.56335646,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-07T08:00:00,0.34655803,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-08T08:00:00,0.27118373,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-09T08:00:00,0.27118373,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-10T08:00:00,0.23612504,m3/sec
QCO,MANUAL-Observed Discharge 4,2007-11-11T08:00:00,0.20290197,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-05T08:00:00,26.89,m3/sec
QCO,MANUAL-Observed Discharge 4,2008-09-06T08:00:00,75.85,m3/sec
