Data Type Code,Data Type Description,Data Time,Data Value,Unit
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-08T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-09T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-09T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-10T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-10T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-11T08:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-11T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-12T08:30:02,80,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-12T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-13T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-13T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-14T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-14T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-15T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-15T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-16T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-16T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-17T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-17T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-18T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-18T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-19T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-19T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-20T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-20T17:30:02,70,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-21T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-21T17:30:02,70,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-22T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-22T17:30:02,77,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-23T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-23T17:30:02,77,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-24T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-24T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-25T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-25T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-26T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-26T17:30:02,72,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-27T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-27T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-28T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-28T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-29T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-29T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-30T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-30T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-31T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-08-31T17:30:02,69,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-01T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-01T17:30:02,69,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-02T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-02T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-03T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-03T17:30:02,69,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-04T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-04T17:30:02,72,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-05T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-05T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-06T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-06T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-07T08:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-07T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-08T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-08T17:30:02,85,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-09T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-09T17:30:02,77,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-10T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-10T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-11T08:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-11T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-12T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-12T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-13T08:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-13T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-14T08:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-14T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-15T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-15T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-16T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-16T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-17T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-17T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-18T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-18T17:30:02,77,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-19T08:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-19T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-20T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-20T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-21T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-21T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-22T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-22T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-23T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-23T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-24T08:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-24T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-25T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-25T17:30:02,70,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-26T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-26T17:30:02,77,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-27T08:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-27T17:30:02,77,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-28T08:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-28T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-29T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-29T17:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-30T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-09-30T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-01T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-01T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-02T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-02T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-03T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-03T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-04T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-04T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-05T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-05T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-06T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-06T17:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-07T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-07T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-08T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-08T17:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-09T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-09T17:30:02,68,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-10T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-10T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-11T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-11T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-12T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-12T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-13T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-13T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-14T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-14T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-15T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-15T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-16T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-16T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-17T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-17T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-18T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-18T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-19T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-19T17:30:02,77,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-20T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-20T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-21T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-21T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-22T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-22T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-23T08:30:02,75,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-23T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-24T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-24T17:30:02,84,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-25T08:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-25T17:30:02,92,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-26T08:30:02,83,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-26T17:30:02,76,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-27T08:30:02,62,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-27T17:30:02,91,%
MHS,MANUAL-Relative Humidity by Thermometer,2017-10-28T08:30:02,83,%
